ec5_uuid,created_at,uploaded_at,created_by,title,lat_1_Location,long_1_Location,accuracy_1_Location,UTM_Northing_1_Location,UTM_Easting_1_Location,UTM_Zone_1_Location,2_Tree_Number,3_PlantType,4_Tree_Species,5_Height,6_GBH,7_Bark_Photo,8_Leaf_Photo,9_Height_Photo,10_Health_of_the_tre,11_habitat_yesno,12_environmental_str
7c41add1-23c4-4173-9013-50f28f0e7b6c,2026-07-11T08:13:51.000Z,2026-07-11T16:19:43.000Z,kishorsurwade20@gmail.com,"Palm Healthy",20.012692,73.821195,4,2213319,376694,43Q,318,"Tree ",Palm,12,168,7c41add1-23c4-4173-9013-50f28f0e7b6c_1783757588.jpg,7c41add1-23c4-4173-9013-50f28f0e7b6c_1783757607.jpg,7c41add1-23c4-4173-9013-50f28f0e7b6c_1783757624.jpg,"Healthy ",Yes,"cutting "
1edd40fc-08c4-4b58-b880-101bcb5cb436,2026-07-11T08:30:41.000Z,2026-07-11T16:19:35.000Z,kishorsurwade20@gmail.com,"Palm Healthy",20.012693,73.821123,8,2213320,376686,43Q,319,"Tree ",Palm,2,40,1edd40fc-08c4-4b58-b880-101bcb5cb436_1783758619.jpg,1edd40fc-08c4-4b58-b880-101bcb5cb436_1783758625.jpg,1edd40fc-08c4-4b58-b880-101bcb5cb436_1783758633.jpg,"Healthy ",Yes,"cutting "
102a7987-b3ee-439a-819b-9a2380b01ec7,2026-07-11T08:34:12.000Z,2026-07-11T16:19:27.000Z,kishorsurwade20@gmail.com,"Palm Healthy",20.012642,73.820978,4,2213314,376671,43Q,320,"Tree ",Palm,9,157,102a7987-b3ee-439a-819b-9a2380b01ec7_1783758809.jpg,102a7987-b3ee-439a-819b-9a2380b01ec7_1783758836.jpg,102a7987-b3ee-439a-819b-9a2380b01ec7_1783758843.jpg,"Healthy ",Yes,"cutting "
3380a3f3-9f42-4cdd-a656-a574bf15df9d,2026-07-11T08:36:29.000Z,2026-07-11T16:19:19.000Z,kishorsurwade20@gmail.com,"Coconut Healthy",20.012589,73.820938,4,2213308,376667,43Q,321,"Tree ",Coconut,9,119,3380a3f3-9f42-4cdd-a656-a574bf15df9d_1783758963.jpg,3380a3f3-9f42-4cdd-a656-a574bf15df9d_1783758970.jpg,3380a3f3-9f42-4cdd-a656-a574bf15df9d_1783758980.jpg,"Healthy ",Yes,"cutting "
6d4b929d-a988-4023-a5c9-3a3202d941c1,2026-07-11T08:43:27.000Z,2026-07-11T16:19:11.000Z,kishorsurwade20@gmail.com,"Plam Healthy",20.012645,73.820927,5,2213314,376665,43Q,322,"Tree ",Plam,13,126,6d4b929d-a988-4023-a5c9-3a3202d941c1_1783759357.jpg,6d4b929d-a988-4023-a5c9-3a3202d941c1_1783759366.jpg,6d4b929d-a988-4023-a5c9-3a3202d941c1_1783759387.jpg,"Healthy ",No,"cutting "
fe6dcb7a-977f-4582-b2b0-674b9d63d424,2026-07-11T08:46:00.000Z,2026-07-11T16:19:03.000Z,kishorsurwade20@gmail.com,"Rain tree Healthy",20.012625,73.820922,4,2213312,376665,43Q,324,"Tree ","Rain tree",12,210,fe6dcb7a-977f-4582-b2b0-674b9d63d424_1783759503.jpg,fe6dcb7a-977f-4582-b2b0-674b9d63d424_1783759527.jpg,fe6dcb7a-977f-4582-b2b0-674b9d63d424_1783759543.jpg,"Healthy ",Yes,"cutting "
d10f33f8-8933-4608-b860-73fd22be5737,2026-07-11T08:48:24.000Z,2026-07-11T16:18:56.000Z,kishorsurwade20@gmail.com,"Coconut Healthy",20.012614,73.820854,5,2213311,376658,43Q,326,"Tree ",Coconut,11,92,d10f33f8-8933-4608-b860-73fd22be5737_1783759670.jpg,d10f33f8-8933-4608-b860-73fd22be5737_1783759682.jpg,d10f33f8-8933-4608-b860-73fd22be5737_1783759695.jpg,"Healthy ",Yes,"cutting "
30c051f8-b561-4ae4-b3fc-9b3f2026f40c,2026-07-11T08:49:57.000Z,2026-07-11T16:18:48.000Z,kishorsurwade20@gmail.com,"Coconut Healthy",20.012559,73.82078,4,2213305,376650,43Q,327,"Tree ",Coconut,13,161,30c051f8-b561-4ae4-b3fc-9b3f2026f40c_1783759770.jpg,30c051f8-b561-4ae4-b3fc-9b3f2026f40c_1783759780.jpg,30c051f8-b561-4ae4-b3fc-9b3f2026f40c_1783759789.jpg,"Healthy ",Yes,"cutting "
b3fcc825-8cfd-4502-a07c-521766f06d22,2026-07-11T08:51:22.000Z,2026-07-11T16:18:41.000Z,kishorsurwade20@gmail.com,"Palm tree Healthy",20.012601,73.820807,4,2213310,376653,43Q,328,"Tree ","Palm tree",11,133,b3fcc825-8cfd-4502-a07c-521766f06d22_1783759853.jpg,b3fcc825-8cfd-4502-a07c-521766f06d22_1783759859.jpg,b3fcc825-8cfd-4502-a07c-521766f06d22_1783759866.jpg,"Healthy ",Yes,"cutting "
b9fbb579-e6ec-40e6-abee-5f1a10a457ae,2026-07-11T09:01:39.000Z,2026-07-11T16:18:33.000Z,kishorsurwade20@gmail.com,"Rain tree Healthy",20.012552,73.820721,4,2213304,376644,43Q,330,"Tree ","Rain tree",13,214,b9fbb579-e6ec-40e6-abee-5f1a10a457ae_1783760391.jpg,b9fbb579-e6ec-40e6-abee-5f1a10a457ae_1783760481.jpg,b9fbb579-e6ec-40e6-abee-5f1a10a457ae_1783760490.jpg,"Healthy ",Yes,"cutting "
5779fe40-f08c-4f9c-bf1a-f62c1eb02080,2026-07-11T09:03:46.000Z,2026-07-11T16:18:25.000Z,kishorsurwade20@gmail.com,"Rain tree Healthy",20.012562,73.820664,5,2213305,376638,43Q,332,"Tree ","Rain tree",10,198,5779fe40-f08c-4f9c-bf1a-f62c1eb02080_1783760564.jpg,5779fe40-f08c-4f9c-bf1a-f62c1eb02080_1783760609.jpg,5779fe40-f08c-4f9c-bf1a-f62c1eb02080_1783760617.jpg,"Healthy ",Yes,"cutting "
222bdee2-1a15-4ead-98b4-3680f1673b35,2026-07-11T09:08:42.000Z,2026-07-11T16:18:17.000Z,kishorsurwade20@gmail.com,"Rain tree Healthy",20.01256,73.82063,5,2213305,376634,43Q,334,"Tree ","Rain tree",13,310,222bdee2-1a15-4ead-98b4-3680f1673b35_1783760883.jpg,222bdee2-1a15-4ead-98b4-3680f1673b35_1783760903.jpg,222bdee2-1a15-4ead-98b4-3680f1673b35_1783760913.jpg,"Healthy ",Yes,"cutting "
b5c3d85c-36ae-4a40-837a-25a946431302,2026-07-11T09:15:39.000Z,2026-07-11T16:18:10.000Z,kishorsurwade20@gmail.com,"Rain tree Healthy",20.012551,73.820381,6,2213304,376608,43Q,335,"Tree ","Rain tree",15,330,b5c3d85c-36ae-4a40-837a-25a946431302_1783761307.jpg,b5c3d85c-36ae-4a40-837a-25a946431302_1783761317.jpg,b5c3d85c-36ae-4a40-837a-25a946431302_1783761331.jpg,"Healthy ",Yes,"cutting "
ff79d5b9-09d5-4922-bd37-9e9f87e563ec,2026-07-11T09:18:56.000Z,2026-07-11T16:18:02.000Z,kishorsurwade20@gmail.com,"Rain tree Healthy",20.012483,73.820314,5,2213297,376601,43Q,335,"Tree ","Rain tree",15,180,ff79d5b9-09d5-4922-bd37-9e9f87e563ec_1783761493.jpg,ff79d5b9-09d5-4922-bd37-9e9f87e563ec_1783761517.jpg,ff79d5b9-09d5-4922-bd37-9e9f87e563ec_1783761528.jpg,"Healthy ",Yes,"cutting "
f3d29f8c-e2ea-4403-a5c9-ec5a97f702c0,2026-07-11T09:20:50.000Z,2026-07-11T16:17:55.000Z,kishorsurwade20@gmail.com,"Coconut Healthy",20.012492,73.820293,7,2213298,376599,43Q,336,"Tree ",Coconut,14,90,f3d29f8c-e2ea-4403-a5c9-ec5a97f702c0_1783761621.jpg,f3d29f8c-e2ea-4403-a5c9-ec5a97f702c0_1783761628.jpg,f3d29f8c-e2ea-4403-a5c9-ec5a97f702c0_1783761639.jpg,"Healthy ",No,"cutting "
59791e5a-2b9b-454e-85f6-bac86085ac6e,2026-07-11T09:22:58.000Z,2026-07-11T16:17:47.000Z,kishorsurwade20@gmail.com,"Palm tree Healthy",20.012478,73.82025,4,2213296,376594,43Q,337,"Tree ","Palm tree",13,162,59791e5a-2b9b-454e-85f6-bac86085ac6e_1783761725.jpg,59791e5a-2b9b-454e-85f6-bac86085ac6e_1783761739.jpg,59791e5a-2b9b-454e-85f6-bac86085ac6e_1783761754.jpg,"Healthy ",Yes,"cutting "
02b63adf-c2cb-4a78-90d6-399b43ac052d,2026-07-11T09:25:57.000Z,2026-07-11T16:10:05.000Z,kishorsurwade20@gmail.com,"Raintree Healthy",20.012504,73.820132,5,2213299,376582,43Q,338,"Tree ",Raintree,14,400,02b63adf-c2cb-4a78-90d6-399b43ac052d_1783761919.jpg,02b63adf-c2cb-4a78-90d6-399b43ac052d_1783761936.jpg,02b63adf-c2cb-4a78-90d6-399b43ac052d_1783761945.jpg,"Healthy ",Yes,"cutting "
e7ab3ded-8635-4f35-bfb0-ca3158205ffa,2026-07-11T09:47:06.000Z,2026-07-11T16:09:55.000Z,kishorsurwade20@gmail.com,"Palm tree Healthy",20.012645,73.820374,5,2213315,376608,43Q,340,"Tree ","Palm tree",10,160,e7ab3ded-8635-4f35-bfb0-ca3158205ffa_1783763199.jpg,e7ab3ded-8635-4f35-bfb0-ca3158205ffa_1783763209.jpg,e7ab3ded-8635-4f35-bfb0-ca3158205ffa_1783763218.jpg,"Healthy ",Yes,"cutting "
1e16f3d5-0cca-4bcd-a10b-b325ec77b125,2026-07-11T09:48:26.000Z,2026-07-11T16:09:48.000Z,kishorsurwade20@gmail.com,"Palm tree Healthy",20.012639,73.820371,5,2213314,376607,43Q,341,"Tree ","Palm tree",13,140,1e16f3d5-0cca-4bcd-a10b-b325ec77b125_1783763281.jpg,1e16f3d5-0cca-4bcd-a10b-b325ec77b125_1783763289.jpg,1e16f3d5-0cca-4bcd-a10b-b325ec77b125_1783763298.jpg,"Healthy ",Yes,"cutting "
d9322941-a526-44d2-9e7c-b5e4dece5d63,2026-07-11T09:49:28.000Z,2026-07-11T16:09:40.000Z,kishorsurwade20@gmail.com,"Palm tree Healthy",20.012656,73.820344,3,2213316,376604,43Q,342,"Tree ","Palm tree",14,140,d9322941-a526-44d2-9e7c-b5e4dece5d63_1783763342.jpg,d9322941-a526-44d2-9e7c-b5e4dece5d63_1783763350.jpg,d9322941-a526-44d2-9e7c-b5e4dece5d63_1783763360.jpg,"Healthy ",Yes,"cutting "
a8e72fe1-44b0-4393-9a19-a9dc71bdd2cb,2026-07-11T09:52:21.000Z,2026-07-11T16:09:32.000Z,kishorsurwade20@gmail.com,"Palm tree Healthy",20.012723,73.820733,4,2213323,376645,43Q,143,"Tree ","Palm tree",14,170,a8e72fe1-44b0-4393-9a19-a9dc71bdd2cb_1783763506.jpg,a8e72fe1-44b0-4393-9a19-a9dc71bdd2cb_1783763523.jpg,a8e72fe1-44b0-4393-9a19-a9dc71bdd2cb_1783763530.jpg,"Healthy ",No,"cutting "
edddc006-cfe9-44d7-8e21-7fdcdedf7323,2026-07-11T09:53:51.000Z,2026-07-11T16:09:24.000Z,kishorsurwade20@gmail.com,"Palm tree Healthy",20.012721,73.820747,4,2213323,376647,43Q,343,"Tree ","Palm tree",15,145,edddc006-cfe9-44d7-8e21-7fdcdedf7323_1783763602.jpg,edddc006-cfe9-44d7-8e21-7fdcdedf7323_1783763612.jpg,edddc006-cfe9-44d7-8e21-7fdcdedf7323_1783763621.jpg,"Healthy ",No,"cutting "
070d32a0-7b84-49f8-b4f2-f9d1cdb21482,2026-07-11T09:55:00.000Z,2026-07-11T16:09:17.000Z,kishorsurwade20@gmail.com,"Palm tree Healthy",20.01273,73.820881,5,2213324,376661,43Q,344,"Tree ","Palm tree",13,190,070d32a0-7b84-49f8-b4f2-f9d1cdb21482_1783763668.jpg,070d32a0-7b84-49f8-b4f2-f9d1cdb21482_1783763677.jpg,070d32a0-7b84-49f8-b4f2-f9d1cdb21482_1783763690.jpg,"Healthy ",Yes,"cutting "
486ae761-07e6-4389-a292-c5e0ee99d243,2026-07-11T09:58:13.000Z,2026-07-11T16:09:09.000Z,kishorsurwade20@gmail.com,"Palm tree Healthy",20.012739,73.820985,5,2213325,376672,43Q,345,"Tree ","Palm tree",14,190,486ae761-07e6-4389-a292-c5e0ee99d243_1783763797.jpg,486ae761-07e6-4389-a292-c5e0ee99d243_1783763809.jpg,486ae761-07e6-4389-a292-c5e0ee99d243_1783763818.jpg,"Healthy ",No,"cutting "
986d45d8-12e9-4d01-8f04-d3728d64b8ae,2026-07-11T10:02:15.000Z,2026-07-11T16:09:01.000Z,kishorsurwade20@gmail.com,"Palm tree Healthy",20.012737,73.82106,5,2213325,376679,43Q,346,"Tree ","Palm tree",14,170,986d45d8-12e9-4d01-8f04-d3728d64b8ae_1783764069.jpg,986d45d8-12e9-4d01-8f04-d3728d64b8ae_1783764078.jpg,986d45d8-12e9-4d01-8f04-d3728d64b8ae_1783764126.jpg,"Healthy ",No,"cutting "
38da0070-8df0-4488-bda8-55606b21a4d6,2026-07-11T10:03:51.000Z,2026-07-11T16:08:54.000Z,kishorsurwade20@gmail.com,"Palm tree Healthy",20.012737,73.821148,5,2213324,376689,43Q,347,"Tree ","Palm tree",10,130,38da0070-8df0-4488-bda8-55606b21a4d6_1783764203.jpg,38da0070-8df0-4488-bda8-55606b21a4d6_1783764212.jpg,38da0070-8df0-4488-bda8-55606b21a4d6_1783764222.jpg,"Healthy ",No,"cutting "
7b012576-1b20-4a59-b922-3446d6fec81d,2026-07-11T10:05:56.000Z,2026-07-11T16:08:46.000Z,kishorsurwade20@gmail.com,"Palm tree Healthy",20.012675,73.821227,5,2213318,376697,43Q,438,"Tree ","Palm tree",5,20,7b012576-1b20-4a59-b922-3446d6fec81d_1783764326.jpg,7b012576-1b20-4a59-b922-3446d6fec81d_1783764333.jpg,7b012576-1b20-4a59-b922-3446d6fec81d_1783764342.jpg,"Healthy ",No,"cutting "
496bd78d-aeb6-4e13-97a4-38071eb64a45,2026-07-11T10:08:27.000Z,2026-07-11T16:08:38.000Z,kishorsurwade20@gmail.com,"Child palm Healthy",20.012739,73.8212,3,2213325,376694,43Q,448,"Tree ","Child palm",4,16,496bd78d-aeb6-4e13-97a4-38071eb64a45_1783764486.jpg,496bd78d-aeb6-4e13-97a4-38071eb64a45_1783764492.jpg,496bd78d-aeb6-4e13-97a4-38071eb64a45_1783764499.jpg,"Healthy ",No,"cutting "
b93909df-8813-42e2-8a7a-7f67ac7a3634,2026-07-11T10:10:25.000Z,2026-07-11T16:08:30.000Z,kishorsurwade20@gmail.com,"Child palm Healthy",20.012738,73.821225,7,2213325,376697,43Q,449,"Tree ","Child palm",2,10,b93909df-8813-42e2-8a7a-7f67ac7a3634_1783764598.jpg,b93909df-8813-42e2-8a7a-7f67ac7a3634_1783764606.jpg,b93909df-8813-42e2-8a7a-7f67ac7a3634_1783764615.jpg,"Healthy ",No,"cutting "
17eb4b3e-a460-4a7d-9caa-19c7ad630533,2026-07-11T10:11:45.000Z,2026-07-11T16:08:23.000Z,kishorsurwade20@gmail.com,"Child palm Healthy",20.012736,73.821247,3,2213324,376699,43Q,450,"Tree ","Child palm",2,30,17eb4b3e-a460-4a7d-9caa-19c7ad630533_1783764687.jpg,17eb4b3e-a460-4a7d-9caa-19c7ad630533_1783764692.jpg,17eb4b3e-a460-4a7d-9caa-19c7ad630533_1783764697.jpg,"Healthy ",No,"cutting "
a578c452-79c8-4b33-98bf-2d460521e95a,2026-07-11T10:12:55.000Z,2026-07-11T16:08:15.000Z,kishorsurwade20@gmail.com,"Child palm Healthy",20.012747,73.821241,4,2213326,376698,43Q,451,"Tree ","Child palm",3,19,a578c452-79c8-4b33-98bf-2d460521e95a_1783764752.jpg,a578c452-79c8-4b33-98bf-2d460521e95a_1783764759.jpg,a578c452-79c8-4b33-98bf-2d460521e95a_1783764766.jpg,"Healthy ",No,"cutting "
